"Phrase","Count"
"we run the",5
"run the application",6
"the application now",8
"application now without",1
"now without any",1
"without any further",1
"any further changes",1
"further changes, we",1
"we will see",12
"will see it",3
"see it displays",2
"it displays quite",1
"displays quite happily",1
"quite happily, but",1
"but you will",1
"you will also",1
"will also see",1
"also see we",1
"see we now",1
"we now have",3
"now have horizontal",1
"have horizontal and",1
"horizontal and vertical",1
"and vertical scroll",1
"vertical scroll bars",1
"scroll bars, which",1
"which allow us",1
"allow us to",12
"us to move",1
"to move up",1
"move up, and",1
"and down, and",1
"and left and",2
"left and right",3
"and right on",2
"right on the",2
"This allows you",11
"allows you to",9
"you to set",2
"to set a",4
"set a console",1
"a console up",1
"console up that",1
"up that better",1
"that better suits",1
"better suits your",1
"suits your application",1
"your application, giving",1
"giving you more",1
"you more flexibility",1
"more flexibility for",2
"flexibility for what",1
"for what you",1
"what you can",3
"you can use",6
"can use the",8
"use the console",2
"the console compiler",9
"console compiler for",1
"The next thing",1
"next thing we're",1
"going to change",3
"to change today",1
"change today is",1
"today is the",2
"is the section",1
"the section of",1
"section of code",4
"of code that",3
"code that displays",1
"that displays information",1
"displays information on",1
"information on the",5
"on the screen",23
"the screen to",8
"screen to the",4
"We have this",2
"have this at",1
"this at the",3
"at the moment",7
"the moment inside",1
"moment inside a",1
"inside a Do",1
"a Do loop",2
"going to take",4
"to take this",2
"take this section",1
"this section of",2
"of code and",1
"code and move",1
"and move it",1
"move it into",1
"it into its",1
"into its own",1
"its own function",2
"own function, and",1
"and we're going",11
"going to call",6
"to call that",2
"call that function",2
"that function display",1
"function display screen",1
"Having these lines",1
"these lines of",1
"of code in",4
"code in its",1
"in its own",1
"own function will",1
"function will make",1
"will make our",1
"make our PB",1
"our PB main",2
"PB main function",2
"main function much",1
"function much tidier",1
"And here is",2
"here is the",6
"is the new",1
"the new function",2
"new function with",1
"function with the",1
"with the code",1
"the code just",1
"code just pasted",1
"just pasted in",1
"we clear our",1
"clear our console",1
"our console screen",2
"console screen, we",1
"we display the",5
"display the headers",1
"the headers, and",1
"and we jump",1
"we jump into",1
"jump into the",1
"into the Do",1
"the Do loop",1
"Do loop to",1
"loop to display",2
"to display the",1
"display the data",1
"the data on",1
"data on screen",1
"application now, we",1
"see it behaves",1
"it behaves exactly",1
"behaves exactly as",1
"exactly as it",1
"as it did",1
"it did before",1
"It runs through",1
"runs through the",1
"through the loop",1
"the loop, and",1
"and at the",4
"of the loop",2
"the loop, it",1
"it will terminate",1
"will terminate the",1
"terminate the application",1
"Since we have",1
"we have removed",1
"have removed that",1
"removed that code",1
"that code from",1
"code from our",1
"from our PB",1
"main function, there",1
"there are some",2
"are some declares",1
"some declares at",1
"declares at the",1
"the beginning of",21
"beginning of the",10
"of the function",2
"the function that",1
"function that we",1
"that we no",1
"we no longer",1
"no longer need",2
"longer need, so",1
"so we will",8
"we will just",1
"will just take",1
"just take those",1
"take those out",1
"going to make",6
"to make use",5
"make use of",7
"use of one",1
"of one of",1
"one of the",8
"of the features",1
"the features of",1
"features of the",1
"of the console",9
"the console within",1
"console within Power",1
"within Power Basic",4
"Power Basic, you",1
"you have not",2
"have not one",1
"not one, but",1
"but eight consoles",1
"eight consoles available",1
"consoles available, and",1
"and we can",15
"we can switch",1
"can switch quite",1
"switch quite easily",1
"quite easily between",2
"easily between each",2
"between each console",1
"Only one console",1
"one console can",1
"console can display",1
"can display to",1
"display to the",2
"user on screen",1
"on screen at",2
"screen at any",2
"at any one",1
"any one time",1
"one time, but",1
"but having these",1
"having these eight",1
"these eight separate",1
"eight separate consoles",1
"separate consoles gives",1
"consoles gives us",1
"gives us a",2
"us a great",1
"a great deal",11
"great deal of",8
"deal of flexibility",4
"of flexibility for",1
"flexibility for how",1
"for how our",1
"how our application",1
"our application operates",1
"In the display",1
"the display screen",1
"display screen section",1
"screen section, there's",1
"there's a call",1
"to a underlying",1
"a underlying function",1
"underlying function called",1
"function called display",1
"called display headers",1
"This displays basically",1
"displays basically a",1
"basically a template",1
"a template on",2
"template on screen",1
"on screen, which",1
"which we can",4
"we can use",11
"can use later",1
"use later on",1
"These are the",2
"are the headings",1
"Power Basic, the",1
"console compiler keeps",1
"compiler keeps track",1
"keeps track of",1
"track of both",1
"of both the",2
"both the active",1
"the active console",2
"active console page",3
"console page and",1
"page and the",1
"and the visible",1
"the visible console",1
"visible console page",1
"It's important to",3
"important to differentiate",1
"to differentiate between",2
"differentiate between these",1
"between these two",1
"The active page",5
"active page is",1
"page is the",2
"is the page",3
"the page that",3
"page that your",1
"that your commands",1
"your commands will",1
"commands will write",1
"will write to",1
"write to and",1
"to and read",1
"and read from",1
"The visible page",4
"visible page is",1
"page that is",2
"that is visible",2
"is visible to",2
"visible to the",2
"And as you",3
"as you can",15
"you can guess",1
"can guess, the",1
"visible page does",1
"page does not",1
"does not necessarily",1
"not necessarily have",1
"necessarily have to",1
"have to be",3
"to be the",2
"be the same",1
"the same as",3
"same as the",2
"as the active",1
"So within this",2
"within this function",6
"this function, we're",2
"going to set",6
"to set up",8
"set up two",2
"up two local",1
"two local variables",1
"local variables, one",1
"one to keep",4
"to keep track",9
"keep track of",9
"track of the",6
"of the active",1
"active page and",1
"page and one",1
"and one to",7
"of the visible",1
"visible page for",1
"page for our",1
"for our console",1
"And I'm going",3
"I'm going to",20
"going to add",7
"to add another",1
"add another local",1
"another local variable",1
"local variable called",3
"variable called status",1
"This is going",6
"is going to",12
"going to be",37
"to be a",5
"be a static",1
"a static variable",1
"I intend to",1
"intend to use",1
"to use one",1
"use one of",1
"the console pages",2
"console pages as",1
"pages as a",1
"as a template",2
"a template so",1
"template so that",1
"so that when",4
"that when the",4
"when the application",2
"the application runs",2
"application runs, it",1
"it will create",1
"will create a",3
"create a template",1
"template on the",1
"on the eighth",1
"the eighth console",3
"eighth console page",3
"That will be",2
"will be used",1
"be used as",2
"used as a",2
"a template to",1
"template to copy",1
"to copy into",1
"copy into any",1
"into any of",1
"any of the",3
"of the other",1
"the other pages",1
"other pages we",1
"pages we wish",1
"we wish to",8
"wish to use",2
"you only have",1
"only have to",1
"have to create",3
"to create this",2
"create this template",1
"this template once",1
"And a single",1
"a single line",1
"single line of",3
"line of code",13
"of code can",1
"code can be",1
"can be used",5
"be used to",6
"used to copy",1
"to copy that",1
"copy that eighth",1
"that eighth console",1
"console page to",1
"page to any",1
"to any other",1
"any other page",1
"other page of",1
"page of the",2
"And our status",1
"our status variable",2
"status variable is",2
"variable is going",1
"to be used",8
"used to determine",2
"to determine whether",5
"determine whether we",1
"whether we have",1
"we have or",1
"have or haven't",1
"or haven't yet",1
"haven't yet created",1
"yet created that",1
"created that template",1
"So we're going",17
"use of two",1
"of two additional",1
"two additional console",1
"additional console commands",1
"Con page active",2
"page active, which",1
"which can be",2
"to determine what",1
"determine what is",1
"what is the",1
"is the active",1
"active page, and",1
"and con page",2
"con page visible",3
"page visible to",1
"visible to determine",1
"to determine which",2
"determine which is",1
"These will populate",1
"will populate these",1
"populate these two",1
"these two variables",2
"two variables, which",1
"we can then",13
"can then test",2
"Testing the value",2
"the value within",2
"value within our",1
"within our status",1
"status variable will",1
"variable will determine",1
"will determine whether",1
"determine whether the",3
"whether the template",1
"the template has",2
"template has already",2
"has already been",5
"already been created",2
"been created or",1
"created or not",1
"If the template",1
"been created, we're",1
"going to use",12
"to use a",4
"use a con",1
"a con pcopy",1
"con pcopy command",1
"This will copy",1
"will copy from",1
"copy from one",1
"from one console",1
"one console window",1
"console window to",1
"window to another",1
"going to create",10
"to create a",10
"create a new",6
"a new constant",2
"new constant in",1
"constant in a",1
"in a moment",3
"a moment to",1
"moment to hold",1
"to hold the",1
"hold the value",1
"the value 8",2
"will be template",1
"be template page",1
"So with this",1
"with this single",1
"this single line",2
"of code, we",2
"we are copying",1
"are copying the",1
"copying the eighth",1
"eighth console to",1
"console to the",1
"to the currently",1
"the currently active",1
"currently active console",1
"And in order",1
"in order to",8
"order to determine",2
"determine which console",1
"which console page",3
"console page we're",1
"page we're actually",1
"we're actually on",1
"actually on, let's",1
"let's print something",1
"print something to",1
"something to the",1
"to the screen",2
"the screen so",1
"screen so the",1
"so the user",2
"the user can",3
"user can quite",1
"can quite easily",3
"quite easily see",1
"easily see which",1
"see which console",1
"console page is",1
"page is in",1
"is in use",1
"we will set",4
"will set the",4
"set the location",6
"the location to",3
"location to print",2
"to print to",4
"print to row",1
"to row 1",1
"row 1, column",1
"column 2, and",1
"and we'll call",4
"we'll call the",1
"call the print",1
"the print function",3
"print function we",1
"function we created",2
"we created in",2
"created in the",1
"in the last",1
"This to print",1
"to print the",3
"print the visible",1
"visible page number",1
"page number to",1
"number to the",2
"to the top",1
"the top of",8
"top of the",6
"of the page",4
"the page, in",1
"in the cyan",1
"the cyan colour",1
"And once that",1
"once that has",1
"that has completed",1
"has completed, we",1
"can then exit",1
"then exit the",1
"exit the function",3
"If the status",1
"the status variable",2
"variable is false",1
"is false, it",1
"it means our",1
"means our template",1
"our template has",1
"template has not",1
"has not yet",1
"not yet been",1
"yet been created",1
"So we can",14
"use the code",1
"the code that's",1
"code that's about",1
"that's about to",1
"about to follow",1
"to follow this",1
"follow this to",1
"this to create",1
"to create our",5
"create our standard",1
"our standard template",1
"set the status",1
"status variable to",1
"variable to the",2
"to the value",4
"the value true",2
"And all the",1
"all the code",1
"the code after",1
"code after that",1
"after that we",1
"that we need",1
"we need not",1
"need not change",1
"This will print",1
"will print to",1
"print to whatever",1
"to whatever the",1
"whatever the active",1
"console page actually",1
"page actually is",1
"So at the",2
"end of this",3
"of this function",3
"this function, we",2
"we will copy",1
"will copy the",1
"copy the active",1
"active page back",1
"page back to",1
"back to the",19
"to the template",1
"Before we run",1
"we run an",1
"run an application",1
"an application, we'll",1
"we'll need to",10
"need to create",2
"create this new",4
"this new constant",1
"new constant, this",1
"this template page",1
"template page constant",1
"page constant at",1
"constant at the",1
"beginning of our",7
"of our application",4
"And we'll set",1
"we'll set that",1
"set that to",1
"that to the",1
"So we'll be",1
"we'll be using",1
"be using the",2
"using the eighth",1
"console page as",1
"page as our",1
"as our template",1
"So with the",1
"with the page",1
"the page number",1
"page number now",1
"number now displayed",1
"now displayed at",1
"displayed at the",1
"our console page",1
"console page, we",1
"we can now",9
"can now try",1
"now try running",1
"try running an",2
"running an application",2
"an application to",1
"application to see",1
"to see how",2
"see how it",4
"how it performs",1
"And there we",4
"there we have",5
"we have page",2
"have page 1",1
"page 1 at",1
"1 at the",1
"at the top",7
"So now that",15
"now that we",8
"that we have",9
"have this multiple",1
"this multiple console",1
"multiple console ability",1
"console ability set",1
"ability set up",1
"set up within",2
"up within our",1
"within our application",1
"our application, how",1
"how can we",3
"can we make",2
"we make use",2
"use of it?",1
"of it? So",1
"it? So let's",1
"So let's go",9
"let's go back",7
"go back to",11
"back to our",3
"to our pb_main",2
"our pb_main function",5
"In our pb_main",2
"pb_main function, we",1
"we prepare the",1
"prepare the screen",1
"the screen and",1
"screen and we",1
"and we display",1
"display the screen",1
"what we're going",5
"to do is",4
"do is we're",1
"is we're going",1
"use of the",7
"of the con",1
"the con scroll",1
"con scroll commands",1
"you to scroll",1
"to scroll up",1
"scroll up, down",1
"Scrolling up on",1
"up on the",1
"the console will",1
"console will move",1
"will move the",1
"move the text",2
"the text effectively",1
"text effectively downwards",1
"So I will",1
"I will put",1
"will put a",2
"put a waitkey",1
"a waitkey command",2
"waitkey command after",1
"command after that",1
"after that so",1
"that so we",1
"we can still",1
"can still see",1
"still see it",1
"see it on",1
"it on the",1
"the screen after",1
"screen after the",1
"after the application",1
"the application completes",2
"application completes that",1
"completes that command",1
"display the information",1
"the information to",1
"the user and",2
"user and once",1
"and once that's",1
"once that's complete",1
"that's complete, the",1
"the console scrolls",1
"console scrolls down",1
"scrolls down by",1
"down by 10",1
"by 10 rows",1
"you to move",1
"to move information",1
"move information around",1
"information around on",1
"around on the",1
"the console, effectively",1
"effectively creating a",1
"creating a blank",1
"a blank area",1
"blank area to",1
"area to which",1
"to which you",1
"which you can",1
"you can then",2
"can then write",1
"Even if that",1
"if that area",1
"that area is",1
"area is above",1
"is above information",1
"above information already",1
"information already committed",1
"already committed to",1
"committed to the",1
"to the console",3
"going to get",1
"to get a",1
"get a little",1
"a little interactive",1
"little interactive with",1
"interactive with the",1
"with the console",4
"the console here",1
"to create three",1
"create three new",1
"three new local",1
"new local variables",1
"One for input",1
"for input, one",1
"one for page",1
"for page, both",1
"both string and",1
"string and number",1
"to be using",5
"be using a",3
"using a Do",1
"Do loop here",1
"we will first",1
"will first position",1
"first position the",1
"position the cursor",1
"the cursor at",1
"cursor at row",1
"at row 2",1
"row 2, column",1
"set the colour",2
"the colour to",1
"colour to black",1
"to black with",1
"black with a",1
"with a white",1
"a white background",1
"And we will",6
"we will use",1
"will use the",1
"use the con",2
"the con input",2
"con input command",2
"input command to",2
"command to prompt",2
"to prompt the",1
"prompt the user",2
"the user for",1
"user for a",1
"for a response",1
"So giving the",1
"giving the text",1
"the text, do",1
"do you wish",1
"you wish to",8
"wish to exit",4
"to exit yes",3
"exit yes or",3
"yes or no?",1
"or no? And",1
"no? And whatever",1
"And whatever the",1
"whatever the user",1
"the user types",1
"user types and",1
"types and then",1
"and then presses",1
"then presses enter",1
"presses enter, we",1
"we will store",1
"will store into",1
"store into the",1
"into the input",1
"the input variable",2
"you to get",1
"to get interactive",1
"get interactive with",1
"interactive with your",1
"with your user",1
"then test the",1
"test the value",2
"the value of",9
"value of that",2
"of that input",1
"that input variable",1
"I'm forcing the",1
"forcing the input",1
"input variable to",1
"variable to uppercase",1
"to uppercase to",1
"uppercase to test",1
"to test to",3
"test to see",4
"to see if",8
"see if the",3
"if the word",1
"the word yes",1
"word yes has",1
"yes has been",1
"has been given",2
"If it has",1
"it has, we're",1
"we're then exiting",1
"then exiting our",1
"exiting our loop",1
"If we're not",1
"we're not exiting",1
"not exiting the",1
"exiting the loop",1
"the loop, I'm",1
"going to ask",1
"to ask the",1
"ask the user",1
"the user to",5
"user to select",1
"to select which",1
"select which page",1
"which page of",1
"the console they",1
"console they actually",1
"they actually wish",1
"And we'll limit",1
"we'll limit the",1
"limit the user",1
"user to either",1
"to either page",1
"either page 1",1
"page 1 or",1
"1 or page",1
"or page 2",1
"Again using the",2
"to prompt them",1
"prompt them for",1
"them for an",1
"for an input",1
"And we'll store",1
"we'll store that",1
"store that in",1
"that in a",2
"in a string",1
"a string variable",1
"string variable called",1
"variable called page",1
"can then transfer",1
"then transfer the",1
"transfer the value",1
"the value in",4
"value in that",1
"in that string",1
"that string variable",1
"string variable to",1
"variable to a",2
"to a numeric",1
"a numeric variable",1
"numeric variable using",1
"variable using the",1
"using the VAL",1
"the VAL command",1
"And we're then",1
"we're then testing",1
"then testing the",1
"of that page",1
"that page variable",1
"page variable to",1
"variable to see",1
"see if it's",1
"if it's either",1
"it's either value",1
"either value 1",1
"value 1 or",1
"1 or 2",1
"We're then setting",1
"then setting the",1
"setting the visible",1
"the visible and",3
"visible and the",2
"and the active",2
"the active pages",1
"active pages using",1
"pages using the",1
"the con page",2
"page visible and",1
"visible and con",1
"page active commands",1
"While we're setting",1
"we're setting both",1
"setting both the",1
"both the visible",1
"the active consoles",1
"active consoles to",1
"consoles to the",1
"to the same",1
"the same value",3
"same value, you",1
"can use these",3
"use these functions",1
"these functions to",1
"functions to set",1
"to set them",2
"set them to",1
"them to different",1
"to different values",1
"different values if",1
"values if you",1
"if you have",2
"you have different",1
"have different functionality",1
"different functionality in",1
"functionality in mind",1
"Now that we've",10
"that we've prompted",1
"we've prompted a",1
"prompted a user",1
"a user for",1
"user for another",1
"for another console",1
"another console number",1
"console number, we",1
"can then re-display",1
"then re-display the",1
"re-display the screen",1
"the user using",1
"user using our",1
"using our existing",2
"our existing display",1
"existing display screen",1
"display screen function",1
"We're resetting the",3
"resetting the color",1
"the color back",1
"color back to",1
"back to green",1
"to green with",1
"green with a",1
"with a black",1
"a black background",2
"black background and",1
"background and calling",1
"and calling display",1
"calling display screen",1
"And then scrolling",1
"then scrolling up",1
"scrolling up 10",1
"up 10 lines",1
"10 lines, as",1
"as we did",8
"we did earlier",1
"So once we",1
"once we exit",1
"we exit this",1
"exit this loop",1
"this loop, we",1
"can then, for",1
"for the purposes",3
"the purposes of",3
"purposes of this",2
"of this application",1
"this application, re-display",1
"re-display each of",1
"each of the",16
"console pages to",1
"pages to the",1
"For example pages",1
"example pages 1",1
"pages 1 and",1
"1 and pages",1
"and pages 2",1
"order to do",2
"to do this",3
"do this, all",1
"all I need",1
"I need to",1
"need to do",6
"do is to",3
"is to use",1
"to use the",8
"page visible command",1
"visible command to",1
"command to set",6
"to set it",2
"set it to",1
"it to the",2
"to the page",2
"the page I",1
"page I wish",1
"And then we're",2
"then we're using",2
"we're using a",7
"using a waitkey",1
"waitkey command to",1
"command to allow",1
"to allow it",3
"allow it to",3
"it to remain",1
"to remain on",1
"remain on screen",1
"on screen so",1
"screen so we",1
"we can see",12
"can see it",1
"see it before",1
"it before going",1
"before going to",1
"going to the",1
"to the next",7
"the next console",1
"next console page",1
"So let's try",7
"let's try running",11
"try running our",5
"running our application",4
"our application now",4
"application now and",2
"now and see",1
"and see how",4
"how it goes",2
"So the application",1
"application runs and",1
"runs and we're",1
"and we're displaying",2
"we're displaying the",2
"displaying the information",1
"the information on",4
"information on page",1
"on page 1",3
"page 1 to",1
"1 to the",1
"Once this is",3
"this is completed",1
"is completed, we",1
"we scroll down",3
"scroll down 10",1
"down 10 lines",1
"10 lines and",2
"lines and we",1
"and we prompt",1
"we prompt the",1
"user to see",1
"to see whether",4
"see whether they",1
"whether they wish",2
"they wish to",3
"yes or no",2
"So in this",1
"in this case",22
"this case, let's",1
"let's put the",1
"put the value",1
"the value no",1
"value no in",1
"no in and",1
"in and press",1
"and press the",1
"press the enter",2
"the enter button",3
"It's now asking",1
"now asking which",1
"asking which console",1
"console page we",1
"page we actually",1
"we actually want",1
"We know we're",2
"know we're on",1
"we're on console",1
"on console page",1
"console page 1",1
"page 1, so",1
"so let's pick",1
"let's pick console",1
"pick console page",1
"console page 2",2
"And it's now",1
"it's now displaying",1
"now displaying console",1
"displaying console page",1
"page 2 to",1
"2 to the",1
"And once this",2
"once this has",2
"this has completed",1
"has completed, it",1
"it will again",1
"will again scroll",1
"again scroll down",1
"scroll down another",1
"down another 10",1
"another 10 lines",1
"lines and ask",1
"and ask if",1
"ask if you",1
"if you wish",4
"this case, we'll",1
"we'll say yes",1
"What it has",1
"it has now",1
"has now done",1
"now done is",1
"done is it's",1
"is it's re-displayed",1
"it's re-displayed to",1
"re-displayed to us",1
"to us what",1
"us what was",2
"what was on",1
"was on page",1
"page 1, as",1
"you can see",15
"can see from",3
"from the screen",1
"The last data",1
"last data appearing",1
"data appearing on",1
"appearing on page",1
"page 1 is",1
"1 is now",1
"is now visible",1
"now visible, including",1
"including the two",1
"the two prompts",1
"two prompts at",1
"prompts at the",1
"the console page",1
"We're now sitting",1
"now sitting on",1
"sitting on the",1
"on the wait",1
"the wait key",2
"wait key command",1
"If we press",2
"we press the",2
"enter button, it",1
"it will now",1
"will now show",1
"now show us",1
"show us what",1
"what was in",1
"was in page",1
"in page 2",1
"And if we",9
"if we hit",1
"we hit the",1
"hit the enter",1
"enter button once",1
"button once more",1
"once more, the",1
"the application will",1
"application will complete",1
"So in summary",5
"in summary, what",2
"what we've done",4
"we've done today",4
"done today is",3
"today is we",3
"is we have",3
"we have extended",1
"have extended our",1
"extended our console",1
"our console beyond",1
"console beyond the",1
"beyond the allowing",1
"the allowing us",1
"allowing us to",4
"us to have",2
"to have scroll",1
"have scroll bars",1
"scroll bars, vertical",1
"vertical and horizontal",1
"we have taken",1
"have taken information",1
"taken information on",1
"information on our",2
"on our console",3
"console screen and",1
"screen and saved",1
"and saved it",1
"saved it to",1
"it to a",1
"to a template",1
"a template console",1
"template console screen",1
"And as the",1
"as the console",1
"the console has",1
"console has 8",1
"has 8 screens",1
"8 screens within",1
"screens within Power",1
"Power Basic, we",1
"use these quite",1
"these quite easily",2
"quite easily to",2
"easily to switch",1
"to switch between",2
"switch between them",2
"between them, using",1
"using the visible",1
"visible and active",1
"and active commands",1
"We have displayed",1
"have displayed information",1
"displayed information on",1
"on the first",2
"the first page",1
"first page to",1
"page to the",4
"user and asked",1
"and asked them",1
"asked them whether",1
"them whether they",1
"wish to continue",1
"If they say",1
"they say yes",1
"say yes, we're",1
"we're allowing them",1
"allowing them to",1
"them to pick",1
"to pick another",1
"pick another console",1
"another console page",1
"this has been",2
"has been completed",1
"been completed, when",1
"when the user",9
"the user decides",1
"user decides they",1
"decides they wish",1
"to exit, then",1
"then we're showing",1
"we're showing each",1
"showing each page",1
"each page to",1
"The ability to",11
"ability to have",3
"to have 8",1
"have 8 console",1
"8 console pages",1
"console pages and",1
"pages and to",1
"and to allow",1
"to allow the",2
"allow the user",2
"user to switch",1
"between them, and",1
"and also to",1
"also to copy",1
"to copy information",1
"copy information from",1
"information from one",1
"from one to",2
"one to the",2
"to the other",1
"the other, gives",1
"gives you a",5
"you a great",3
"of flexibility in",2
"flexibility in your",1
"in your console",1
"your console applications",1
"Hopefully you'll find",6
"you'll find this",6
"find this useful",1
"this useful in",1
"useful in your",4
"in your own",1
"your own applications",2
"own applications, but",1
"but that's it",6
"that's it for",10
"it for today",10
"Thank you for",10
"you for watching.",10
"Welcome! In this",5
"series of videos",3
"of videos we",3
"videos we will",4
"we will cover",3
"will cover the",3
"cover the design",3
"the design and",3
"design and implementation",3
"and implementation of",3
"implementation of a",3
"of a project",3
"a project, from",3
"from initial design",3
"initial design through",3
"design through coding",3
"through coding and",3
"coding and development",3
"and development to",3
"development to testing",3
"to testing, using",2
"using the Power",2
"Power Basic Windows",6
"Basic Windows Compiler",4
"we will continue",3
"will continue our",3
"continue our project",3
"our project to",3
"project to create",3
"create our own",3
"our own web",3
"own web browser",3
"web browser, by",2
"by completing the",1
"completing the work",1
"the work on",1
"work on text",1
"on text hyperlinks",1
"text hyperlinks and",2
"hyperlinks and adding",1
"and adding support",1
"adding support for",4
"support for the",3
"for the underline",3
"the underline tag",14
"was our project",1
"our project at",1
"project at the",1
"have a light",1
"a light browser",1
"light browser which",1
"browser which allows",1
"which allows us",3
"allows us to",12
"us to drag",1
"to drag HTML",1
"drag HTML pages",1
"HTML pages onto",1
"pages onto the",1
"onto the browser",1
"This then displays",1
"then displays our",1
"displays our HTML",1
"our HTML page",1
"HTML page to",1
"the user, and",3
"if we click",12
"we click on",13
"click on any",1
"on any one",1
"any one of",1
"of the image",4
"the image hyperlinks",1
"image hyperlinks, it",1
"it will take",2
"will take us",3
"take us in",1
"us in to",1
"in to the",1
"the next page",1
"next page, including",1
"including the display",1
"the display of",1
"display of graphics",1
"We also have",4
"also have headers",1
"have headers and",1
"headers and text",1
"and text which",1
"text which is",4
"which is paragraphed",1
"is paragraphed, and",1
"and we have",9
"have a text",2
"a text URL",3
"text URL at",1
"URL at the",2
"at the bottom",4
"the bottom of",3
"bottom of our",1
"of our index",1
"our index page",5
"the moment this",2
"moment this text",1
"this text URL",1
"text URL is",1
"URL is not",1
"is not underlined",1
"not underlined, which",1
"which is more",1
"is more or",1
"more or less",2
"or less the",1
"less the standard",1
"the standard for",1
"standard for all",1
"for all text",1
"all text URLs",1
"That's what we're",1
"going to tackle",1
"to tackle today",1
"tackle today, is",1
"is the underlining",1
"the underlining of",3
"underlining of text",1
"of text hyperlinks",1
"hyperlinks and the",1
"and the use",1
"the use of",7
"of the underline",6
"underline tag in",1
"tag in HTML",1
"in HTML can",1
"HTML can be",1
"used to mark",1
"to mark a",1
"mark a section",1
"a section of",4
"section of text",1
"of text as",1
"text as being",1
"as being underlined",1
"underline tag is",2
"tag is usually",1
"is usually discouraged",1
"usually discouraged, as",1
"as it can",2
"it can confuse",1
"can confuse users",1
"confuse users to",1
"users to think",1
"to think that",1
"think that a",1
"that a piece",1
"a piece of",7
"piece of text",5
"of text is",1
"text is underlined",1
"is underlined is",1
"underlined is a",1
"is a hyperlink",2
"it's still supported",1
"still supported within",1
"supported within HTML",1
"within HTML, so",1
"let's go and",4
"go and have",2
"and have a",3
"have a look",13
"a look at",13
"look at our",4
"at our code",4
"our code to",4
"code to see",3
"to see what",5
"see what we",5
"what we can",2
"we can do",8
"can do to",2
"do to achieve",1
"to achieve this",1
"have two globals",1
"two globals at",1
"globals at the",1
"of our code",3
"our code, one",2
"one for the",3
"for the default",2
"the default font",5
"default font and",3
"font and one",3
"one to contain",1
"to contain the",2
"contain the handles",1
"the handles for",2
"handles for the",1
"for the array",1
"the array of",3
"array of fonts",1
"of fonts we",1
"fonts we are",1
"we are using",1
"to add two",1
"add two more",1
"two more globals",1
"more globals to",1
"globals to this",1
"to this list",1
"this list, one",1
"the default underline",2
"default underline font",2
"underline font and",1
"one for an",1
"for an array",1
"an array of",7
"array of underline",2
"of underline fonts",2
"This will allow",3
"will allow us",3
"us to maintain",1
"to maintain an",1
"maintain an array",1
"underline fonts, which",1
"can use at",1
"use at any",1
"at any point",2
"any point in",2
"point in the",2
"in the application",2
"you can probably",1
"can probably guess",1
"probably guess, we're",1
"going to have",7
"to have to",4
"to create and",1
"create and also",1
"and also destroy",1
"also destroy fonts",1
"destroy fonts when",1
"fonts when the",2
"when the program",2
"the program starts",1
"program starts and",1
"starts and when",1
"and when the",1
"the program ends",1
"have two functions",1
"two functions which",1
"functions which perform",1
"which perform these",1
"perform these functions",1
"these functions, one",1
"one called create",1
"called create fonts",1
"create fonts and",1
"fonts and one",1
"and one called",1
"one called unload",1
"called unload fonts",1
"let's go to",4
"go to the",5
